Order ID,Order Date,Region,Product Category,Sales Channel,Customer Segment,Quantity,Unit Price,Discount %,Revenue,Profit,Delivery Days,Returned,Customer Rating
ORD-10001,2024-11-27,North,Furniture,Retail Store,Small Business,13,587.59,0,7638.67,-389.58,9,No,
ORD-10002,2024-03-29,West,Apparel,Online,Small Business,14,67.52,0,945.28,-17.11,4,No,5
ORD-10003,2025-08-19,South,Electronics,Online,Small Business,19,529.06,0,10052.14,3510.55,5,No,1
ORD-10004,2025-07-07,South,Electronics,Online,Small Business,19,281.09,20,4272.57,878.45,4,No,
ORD-10005,2025-07-14,West,Electronics,Partner,Small Business,19,58.34,0,1108.46,148.31,6,No,4
ORD-10006,2025-04-09,South,Groceries,Online,Small Business,10,227.34,0,2273.4,159.42,8,No,5
ORD-10007,2025-04-04,West,Groceries,Online,Corporate,20,882.26,0,17645.2,-70.72,8,No,
ORD-10008,2024-03-20,East,Toys,Retail Store,Small Business,19,711.24,20,10810.85,1028.0,8,No,3
ORD-10009,2024-03-11,North,Electronics,Online,Small Business,9,429.32,15,3284.3,889.21,11,No,5
ORD-10010,2025-04-01,East,Groceries,Online,Corporate,23,350.28,15,N/A,669.27,10,No,3
ORD-10011,2024-03-01,South,Furniture,Retail Store,Corporate,25,262.25,15,5572.81,2108.8,8,No,1
ORD-10012,2025-04-04,West,Apparel,Partner,Corporate,18,253.67,0,4566.06,1247.44,6,No,3
ORD-10013,2024-08-24,  north ,Furniture,Online,Corporate,3,162.71,0,488.13,163.79,3,No,2
ORD-10014,2024-01-05,East,Furniture,Online,Small Business,14,483.46,10,6091.6,2129.63,10,No,5
ORD-10015,2024-02-25,West,Apparel,Retail Store,Corporate,25,856.94,15,18209.97,2131.66,8,No,3
ORD-10016,2024-03-04,South,Furniture,Online,Corporate,3,886.28,5,2525.9,556.62,2,No,4
ORD-10017,2024-06-03,North,Toys,Online,Consumer,4,854.31,10,3075.52,698.25,3,No,2
ORD-10018,2024-12-21,West,Toys,Retail Store,Corporate,12,429.37,0,5152.44,834.27,2,No,
ORD-10019,2024-12-16,North,Groceries,Online,Small Business,16,746.83,0,11949.28,1205.4,12,No,
ORD-10020,2025-06-24,East,Groceries,Partner,Corporate,21,777.68,15,13881.59,5193.51,6,No,4
ORD-10021,2025-07-08,South,Toys,Online,Corporate,11,574.62,10,5688.74,1649.37,4,No,4
ORD-10022,2025-05-19,East,Groceries,Retail Store,Corporate,24,30.94,0,742.56,12.49,10,No,3
ORD-10023,2024-12-23,West,Groceries,Online,Corporate,3,202.31,0,606.93,13.47,10,No,
ORD-10024,2025-05-05,North,Groceries,Retail Store,Small Business,21,80.88,15,1443.71,426.0,8,No,3
ORD-10025,2024-12-06,North,Electronics,Partner,Consumer,24,359.28,5,8191.58,40.97,3,No,1
ORD-10026,2025-08-27,West,Apparel,Partner,Corporate,21,135.83,20,2281.94,-4.66,9,No,
ORD-10027,2024-01-15,West,Electronics,Online,Consumer,17,675.8,0,11488.6,-758.28,4,No,4
ORD-10028,2024-09-03,South,Toys,Online,Small Business,11,237.13,5,2478.01,240.1,8,No,4
ORD-10029,2025-06-13,North,Apparel,Retail Store,Consumer,17,122.03,0,2074.51,465.27,13,No,1
ORD-10030,2024-05-24,North,Apparel,Retail Store,Small Business,20,654.05,10,11772.9,2109.4,9,No,
ORD-10031,2025-07-27,North,Electronics,Partner,Corporate,8,176.22,0,1409.76,283.17,13,No,3
ORD-10032,2024-11-29,East,Toys,Retail Store,Small Business,17,547.49,0,9307.33,1737.15,8,No,1
ORD-10033,2025-06-19,West,Groceries,Online,Corporate,18,804.02,0,14472.36,-277.71,8,No,
ORD-10034,2024-09-03,North,Apparel,Online,Small Business,3,195.36,0,586.08,141.67,6,No,2
ORD-10035,2024-05-20,West,Apparel,Retail Store,Consumer,8,673.28,0,5386.24,2234.94,14,No,1
ORD-10036,2025-03-17,East,Toys,Retail Store,Consumer,13,308.51,0,4010.63,1127.29,1,No,4
ORD-10037,2025-04-14,East,Apparel,Partner,Consumer,23,21.18,0,487.14,-11.48,13,No,
ORD-10038,2024-03-27,South,Groceries,Retail Store,Consumer,9,40.43,20,291.1,96.03,14,No,2
ORD-10039,2025-02-19,West,Furniture,Partner,Corporate,18,827.66,10,13408.09,-472.89,1,Yes,1
ORD-10040,2025-03-11,North,Electronics,Retail Store,Consumer,9,844.82,15,6462.87,1448.26,4,No,2
ORD-10041,2024-05-04,West,Apparel,Retail Store,Small Business,1,308.54,10,277.69,-4.27,9,Yes,1
ORD-10042,2024-04-22,East,Furniture,Partner,Corporate,9,50.09,0,450.81,83.64,4,No,3
ORD-10043,2025-05-27,East,Furniture,Online,Consumer,9,315.57,0,2840.13,-201.03,9,No,1
ORD-10044,2025-06-10,West,Apparel,Partner,Corporate,8,841.51,0,6732.08,1298.98,7,No,2
ORD-10045,2024-08-08,South,Furniture,Retail Store,Corporate,11,182.77,15,1708.9,702.26,14,No,
ORD-10046,2024-03-13,West,Groceries,Partner,Small Business,14,151.11,0,2115.54,857.78,10,No,5
ORD-10047,2024-10-27,West,Electronics,Online,Corporate,15,170.89,0,2563.35,261.64,6,No,2
ORD-10048,2024-09-07,North,Electronics,Retail Store,Corporate,10,199.99,0,1999.9,-76.11,5,No,5
ORD-10049,2024-07-24,East,Furniture,Online,Consumer,17,699.73,0,11895.41,1424.54,1,No,
ORD-10050,2024-11-02,South,Groceries,Partner,Small Business,21,213.36,10,4032.5,1258.22,10,No,2
ORD-10051,2025-05-21,South,Furniture,Online,Small Business,10,653.12,15,5551.52,2031.7,11,No,5
ORD-10052,2025-06-01,North,Furniture,Partner,Small Business,17,678.82,10,10385.95,3312.95,12,No,5
ORD-10053,2024-08-23,East,Electronics,Online,Corporate,1,42.47,15,36.1,12.2,9,No,5
ORD-10054,2024-01-20,North,Toys,Retail Store,Consumer,22,223.88,0,4925.36,1448.71,9,No,
ORD-10055,2025-06-22,North,Electronics,Retail Store,Consumer,24,664.43,0,15946.32,4539.4,4,No,5
ORD-10056,2025-04-16,East,Apparel,Online,Small Business,13,73.68,15,814.16,192.46,4,No,4
ORD-10057,2024-05-30,East,Groceries,Partner,Small Business,9,588.12,15,4499.12,-59.75,8,No,3
ORD-10058,2024-10-02,East,Electronics,Partner,Small Business,23,199.84,5,4366.5,274.09,8,No,
ORD-10059,2025-07-16,North,Furniture,Retail Store,Corporate,10,880.42,5,8363.99,-349.35,9,No,2
ORD-10060,2025-01-31,South,Furniture,Partner,Small Business,7,71.78,0,502.46,25.58,6,No,4
ORD-10061,2025-06-04,West,Groceries,Retail Store,Corporate,4,634.49,0,2537.96,-171.52,1,No,5
ORD-10062,2025-04-06,East,Apparel,Retail Store,Corporate,10,655.83,5,6230.39,-121.77,6,No,2
ORD-10063,2024-12-12,North,Apparel,Partner,Corporate,4,846.19,0,3384.76,157.75,2,No,3
ORD-10064,2025-08-26,East,Electronics,Online,Corporate,12,833.25,20,7999.2,-233.14,14,No,2
ORD-10065,2024-06-01,South,Furniture,Retail Store,Corporate,9,395.44,0,3558.96,1288.82,13,No,3
ORD-10066,2025-07-21,West,Toys,Retail Store,Small Business,7,649.02,0,4543.14,1346.29,11,No,3
ORD-10067,2024-02-20,East,Toys,Retail Store,Corporate,5,157.83,5,749.69,35.89,12,No,2
ORD-10068,2025-02-19,West,Furniture,Online,Consumer,10,437.45,15,3718.32,898.36,2,No,4
ORD-10069,2025-05-24,West,Toys,Retail Store,Consumer,8,410.42,0,3283.36,636.62,4,No,1
ORD-10070,2024-12-16,East,Toys,Partner,Consumer,3,290.76,0,872.28,317.18,12,No,3
ORD-10071,2025-02-27,North,Toys,Retail Store,Corporate,7,342.29,0,2396.03,496.31,6,No,5
ORD-10072,2025-05-30,South,Toys,Online,Corporate,21,712.33,20,11967.14,4408.64,7,No,5
ORD-10073,2025-04-01,North,Apparel,Online,Consumer,10,764.57,20,6116.56,811.06,13,No,4
ORD-10074,2025-05-16,West,Electronics,Retail Store,Consumer,3,355.41,20,852.98,265.75,4,No,1
ORD-10075,2025-06-18,West,Electronics,Online,Small Business,24,632.4,20,12142.08,3744.99,1,No,1
